initial_alias,converted_alias
NM_001037175,223822_at
NM_012414,240234_at
NM_025160,223863_at
NM_025160,224897_at
NM_025160,224898_at
NM_025160,224905_at
NM_017982,223821_s_at
NM_017982,223822_at
NM_001115113,223863_at
NM_001115113,224897_at
NM_001115113,224898_at
NM_001115113,224905_at
NM_001314021,None
NM_001164540,None
NM_018662,None
NM_001164551,None
NM_001164549,None
NM_001164539,None
NM_001012959,None
NM_001164542,None
NM_001164546,None
NM_001164548,None
NM_001012957,None
NM_001164537,None
NM_001164547,None
NM_001164541,None
NM_007357,243608_at
NM_001145036,243608_at
NM_001164556,None
NM_001164555,None
NM_014777,None
NM_001164538,None
NM_001164545,None
NM_001164544,None
NM_001348094,223618_at
NM_001282773,None
NM_001350116,None
NM_001350113,None
NM_001305424,223618_at
NM_001282775,None
NM_001350115,None
NM_001350114,None
NM_002924,None
NM_001364886,None
NM_001195812,242173_at
NM_001320272,242173_at
NM_020066,223618_at
NM_001282778,None
NM_001195811,242173_at
NM_001372062,242173_at
NM_018012,238617_at
NM_001167740,None
NM_022743,None
NM_001346116,228733_at
NM_014188,223051_at
NM_014188,223053_x_at
NM_014188,226229_s_at
NM_022834,222723_at
NM_022834,228651_at
NM_022834,233091_at
NM_001313896,None
NM_001282538,None
NM_153339,228733_at
NM_001282539,None
NM_001304360,None
NM_199121,222723_at
NM_199121,228651_at
NM_199121,233091_at
NM_001130045,236418_at
NM_001371649,236418_at
NM_001313982,None
NM_024011,None
NM_002074,None
NM_033529,None
NM_001303013,None
NM_001301060,None
NM_001242672,None
NM_014638,None
NM_001303012,None
NM_024848,None
NM_033467,None
NM_001204184,232546_at
NM_001409,226869_at
NM_001204185,232546_at
NM_001204186,232546_at
NM_005427,232546_at
NM_001204188,232546_at
NM_001204187,232546_at
NM_001042478,None
NM_018836,None
NM_001291593,None
NM_172130,None
NM_015557,None
NM_001199861,None
NM_001291594,None
NM_003636,None
NM_015102,None
NM_024654,None
NM_001195563,225692_at
NM_001195563,225693_s_at
NM_001195563,227328_at
NM_001242701,225692_at
NM_001242701,225693_s_at
NM_001242701,227328_at
NM_018198,None
NM_001349627,225692_at
NM_001349627,225693_s_at
NM_001349627,227328_at
NM_001349621,225692_at
NM_001349621,225693_s_at
NM_001349621,227328_at
NM_001349624,225692_at
NM_001349624,225693_s_at
NM_001349624,227328_at
NM_001349622,225692_at
NM_001349622,225693_s_at
NM_001349622,227328_at
NM_001349617,225692_at
NM_001349617,225693_s_at
NM_001349617,227328_at
NM_001349616,225692_at
NM_001349616,225693_s_at
NM_001349616,227328_at
NM_001349613,225692_at
NM_001349613,225693_s_at
NM_001349613,227328_at
NM_001349614,225692_at
NM_001349614,225693_s_at
NM_001349614,227328_at
NM_001349615,225692_at
NM_001349615,225693_s_at
NM_001349615,227328_at
NM_001349619,225692_at
NM_001349619,225693_s_at
NM_001349619,227328_at
NM_001349618,225692_at
NM_001349618,225693_s_at
NM_001349618,227328_at
NM_001349623,225692_at
NM_001349623,225693_s_at
NM_001349623,227328_at
NM_001349620,225692_at
NM_001349620,225693_s_at
NM_001349620,227328_at
NM_001349626,225692_at
NM_001349626,225693_s_at
NM_001349626,227328_at
NM_001349625,225692_at
NM_001349625,225693_s_at
NM_001349625,227328_at
NM_003039,230705_at
NM_003039,242525_at
NM_001135585,230705_at
NM_001135585,242525_at
NM_001328619,230705_at
NM_001328619,242525_at
NM_025106,226075_at
NM_001328621,230705_at
NM_001328621,242525_at
NM_001328620,230705_at
NM_001328620,242525_at
NM_006048,None
NM_001350235,None
NM_001350234,None
NM_001105562,None
NM_022787,223692_at
NM_022787,229852_at
NM_001365952,225878_at
NM_001365952,226968_at
NM_015074,225878_at
NM_015074,226968_at
NM_005026,None
NM_183416,225878_at
NM_183416,226968_at
NM_032315,223296_at
NM_001365951,225878_at
NM_001365951,226968_at
NM_001297779,223692_at
NM_001297779,229852_at
NM_001297778,223692_at
NM_001297778,229852_at
NM_017766,230420_at
NM_017766,233863_at
NM_017766,235605_at
NM_017766,243386_at
NM_004958,None
NM_001079843,230420_at
NM_001079843,233863_at
NM_001079843,235605_at
NM_001079843,243386_at
NM_018156,None
NM_005957,226929_at
NM_005957,239035_at
NM_001066,None
NM_018438,231769_at
NM_015378,None
NM_001330358,226929_at
NM_001330358,239035_at
NM_001010847,None
NM_001099790,None
NM_015866,None
NM_001135610,None
NM_012231,None
NM_001007257,None
NM_001136218,None
NM_001136217,None
NM_018022,None
NM_052929,None
NM_001370231,229144_at
NM_001018000,229144_at
NM_033440,None
NM_001136216,None
NM_001319665,None
NM_001018001,229144_at
NM_001370229,229144_at
NM_001271869,None
NM_015001,None
NM_018994,None
NM_001114600,None
NM_001011722,None
NM_001319837,None
NM_001328124,None
NM_001319838,None
NM_018715,224578_at
NM_003000,None
NM_001136204,224578_at
NM_018125,None
NM_152375,None
NM_001135254,None
NM_032880,227154_at
NM_001349115,None
NM_001349113,227007_at
NM_001206541,None
NM_181719,227007_at
NM_001282162,None
NM_001206540,None
NM_001348421,None
NM_001349114,227007_at
NM_004930,None
NM_001313932,None
NM_001349112,227007_at
NM_020765,231889_at
NM_001039500,None
NM_020816,None
NM_001122819,None
NM_001287212,None
NM_001113348,None
NM_001113349,None
NM_001330383,None
NM_001350528,None
NM_001350525,None
NM_001113347,None
NM_001350527,None
NM_002885,None
NM_001145658,None
NM_001350167,225925_s_at
NM_001350167,229812_at
NM_001350167,232621_at
NM_001397,None
NM_001330394,225925_s_at
NM_001330394,229812_at
NM_001330394,232621_at
NM_001350524,None
NM_001350168,225925_s_at
NM_001350168,229812_at
NM_001350168,232621_at
NM_001145657,None
NM_001350164,225925_s_at
NM_001350164,229812_at
NM_001350164,232621_at
NM_001291860,None
NM_005529,None
NM_001350526,None
NM_032236,225925_s_at
NM_032236,229812_at
NM_032236,232621_at
NM_001032730,225925_s_at
NM_001032730,229812_at
NM_001032730,232621_at
NM_001350166,225925_s_at
NM_001350166,229812_at
NM_001350166,232621_at
NM_017449,230088_at
NM_017449,230119_at
NM_004442,230088_at
NM_004442,230119_at
NM_001309192,230088_at
NM_001309192,230119_at
NM_001309193,230088_at
NM_001309193,230119_at
NM_001297620,232004_at
