initial_alias	converted_alias
NM_001243506	ESRRG
NM_001134285	ESRRG
NM_206594	ESRRG
NM_206595	ESRRG
NM_001320808	LPGAT1
NM_002238	KCNH1
NM_001243505	ESRRG
NM_001350125	ESRRG
NM_001350124	ESRRG
NM_001350123	ESRRG
NM_001350122	ESRRG
NM_001243510	ESRRG
NM_014873	LPGAT1
NM_001243511	ESRRG
NM_206933	USH2A
NM_001037175	SUSD4
NM_012414	RAB3GAP2
NM_025160	WDR26
NM_017982	SUSD4
NM_001115113	WDR26
NM_001314021	URB2
NM_001164540	DISC1
NM_018662	DISC1
NM_001164551	DISC1
NM_001164549	DISC1
NM_001164539	DISC1
NM_001012959	DISC1
NM_001164542	DISC1
NM_001164546	DISC1
NM_001164548	DISC1
NM_001012957	DISC1
NM_001164537	DISC1
NM_001164547	DISC1
NM_001164541	DISC1
NM_007357	COG2
NM_001145036	COG2
NM_001164556	DISC1
NM_001164555	DISC1
NM_014777	URB2
NM_001164538	DISC1
NM_001164545	DISC1
NM_001164544	DISC1
NM_001348094	FMN2
NM_001282773	RGS7
NM_001350116	RGS7
NM_001350113	RGS7
NM_001305424	FMN2
NM_001282775	RGS7
NM_001350115	RGS7
NM_001350114	RGS7
NM_002924	RGS7
NM_001364886	RGS7
NM_001195812	PLD5
NM_001320272	PLD5
NM_020066	FMN2
NM_001282778	RGS7
NM_001195811	PLD5
NM_001372062	PLD5
NM_018012	KIF26B
NM_001167740	SMYD3
NM_022743	SMYD3
NM_001346116	PUSL1
NM_014188	SSU72
NM_022834	VWA1
NM_001313896	CDK11A
NM_001282538	GNB1
NM_153339	PUSL1
NM_001282539	GNB1
NM_001304360	CFAP74
NM_199121	VWA1
NM_001130045	TTLL10
NM_001371649	TTLL10
NM_001313982	CDK11A
NM_024011	CDK11A
NM_002074	GNB1
NM_033529	CDK11A
NM_001303013	PLCH2
NM_001301060	MORN1
NM_001242672	TTC34
NM_014638	PLCH2
NM_001303012	PLCH2
NM_024848	MORN1
NM_033467	MMEL1
NM_001204184	TP73
NM_001409	MEGF6
NM_001204185	TP73
NM_001204186	TP73
NM_005427	TP73
NM_001204188	TP73
NM_001204187	TP73
NM_001042478	AJAP1
NM_018836	AJAP1
NM_001291593	NPHP4
NM_172130	KCNAB2
NM_015557	CHD5
NM_001199861	KCNAB2
NM_001291594	NPHP4
NM_003636	KCNAB2
NM_015102	NPHP4
NM_024654	NOL9
NM_001195563	CAMTA1
NM_001242701	CAMTA1
NM_018198	DNAJC11
NM_001349627	CAMTA1
NM_001349621	CAMTA1
NM_001349624	CAMTA1
NM_001349622	CAMTA1
NM_001349617	CAMTA1
NM_001349616	CAMTA1
NM_001349613	CAMTA1
NM_001349614	CAMTA1
NM_001349615	CAMTA1
NM_001349619	CAMTA1
NM_001349618	CAMTA1
NM_001349623	CAMTA1
NM_001349620	CAMTA1
NM_001349626	CAMTA1
NM_001349625	CAMTA1
NM_003039	SLC2A5
NM_001135585	SLC2A5
NM_001328619	SLC2A5
NM_025106	SPSB1
NM_001328621	SLC2A5
NM_001328620	SLC2A5
NM_006048	UBE4B
NM_001350235	PIK3CD
NM_001350234	PIK3CD
NM_001105562	UBE4B
NM_022787	NMNAT1
NM_001365952	KIF1B
NM_015074	KIF1B
NM_005026	PIK3CD
NM_183416	KIF1B
NM_032315	SLC25A33
NM_001365951	KIF1B
NM_001297779	NMNAT1
NM_001297778	NMNAT1
